hand,ev,allin,raise_sm,raise_lg,check
J4o,0.63,0.02,0.03,11.43,88.52
T4o,0.58,0.0,0.01,0.01,99.98
94o,0.54,0.0,6.73,0.0,93.27
84o,0.56,0.0,13.78,0.36,85.86
74o,0.59,0.0,0.0,13.93,86.07
64o,0.63,0.0,0.0,12.77,87.23
54o,0.67,0.0,0.0,11.05,88.95
44,1.68,66.08,13.23,20.69,0.0
43s,0.77,0.0,0.0,57.15,42.85
42s,0.69,0.0,0.0,71.31,28.69
A3o,1.08,0.04,0.0,1.3,98.66
K3o,0.77,0.0,0.0,0.0,100.0
Q3o,0.68,0.0,0.0,0.36,99.64
J3o,0.6,0.0,0.0,3.11,96.89
T3o,0.55,0.0,0.03,0.05,99.92
93o,0.51,0.0,4.48,0.0,95.52
83o,0.48,0.0,21.73,0.0,78.27
73o,0.5,0.0,15.39,0.14,84.47
63o,0.54,0.0,0.0,0.51,99.49
53o,0.58,0.0,0.0,9.27,90.73
43o,0.54,0.0,0.0,1.56,98.44
33,1.48,83.63,5.72,10.65,0.0
32s,0.66,0.0,0.0,65.85,34.15
A2o,1.03,13.88,0.0,4.17,81.95
K2o,0.75,0.0,1.99,0.0,98.01
Q2o,0.65,0.0,18.85,14.14,67.01
J2o,0.58,0.0,21.87,15.78,62.34
T2o,0.53,0.0,26.05,2.95,71.0
92o,0.49,0.0,44.22,0.08,55.7
82o,0.47,0.0,36.69,0.0,63.31
72o,0.44,0.0,25.2,0.0,74.8
62o,0.46,0.0,27.1,0.01,72.89
52o,0.5,0.0,0.02,12.81,87.17
42o,0.46,0.0,0.44,4.37,95.19
32o,0.43,0.0,0.11,0.02,99.87
22,1.37,100.0,0.0,0.0,0.0
