hand,ev,allin,3bet_sm,3bet_lg,call,fold
64s,0.42,0.0,0.0,0.0,100.0,0.0
63s,0.33,0.0,0.0,0.0,100.0,0.0
62s,0.22,0.0,0.0,0.0,100.0,0.0
A5o,0.87,37.89,0.0,17.93,44.18,0.0
K5o,0.23,13.98,0.0,9.19,76.83,0.0
Q5o,0.08,0.0,0.0,12.23,87.77,0.0
J5o,0.01,0.0,0.0,11.12,88.87,0.0
T5o,0.0,0.0,0.0,0.0,0.0,100.0
95o,0.0,0.0,8.62,0.0,17.78,73.6
85o,0.02,0.0,20.21,0.01,79.78,0.0
75o,0.06,0.0,0.0,11.53,88.47,0.0
65o,0.13,0.0,0.0,14.64,85.36,0.0
55,1.69,67.7,19.16,13.14,0.0,0.0
54s,0.52,0.0,0.0,0.0,100.0,0.0
53s,0.42,0.0,0.0,0.0,100.0,0.0
52s,0.32,0.0,0.0,0.0,100.0,0.0
A4o,0.81,68.38,0.0,0.84,30.78,0.0
K4o,0.2,0.0,0.02,15.93,84.05,0.0
Q4o,0.06,0.0,6.9,19.6,73.5,0.0
J4o,0.0,0.0,23.49,1.18,56.31,19.02
T4o,0.0,0.0,0.0,0.0,0.0,100.0
94o,0.0,0.0,0.0,0.0,0.0,100.0
84o,0.0,0.0,0.0,0.0,0.0,100.0
74o,0.0,0.0,0.0,0.0,0.0,100.0
64o,0.03,0.0,0.0,6.82,93.18,0.0
54o,0.12,0.0,0.0,11.77,88.23,0.0
44,1.42,87.5,0.0,12.5,0.0,0.0
43s,0.39,0.0,0.0,0.0,100.0,0.0
42s,0.31,0.0,0.0,0.0,100.0,0.0
A3o,0.74,22.65,0.0,7.94,69.4,0.0
K3o,0.17,0.0,11.93,13.21,74.86,0.0
Q3o,0.04,0.0,14.87,9.44,75.69,0.0
J3o,0.0,0.0,0.73,0.0,16.2,83.07
T3o,0.0,0.0,0.0,0.0,0.0,100.0
93o,0.0,0.0,0.0,0.0,0.0,100.0
83o,0.0,0.0,0.0,0.0,0.0,100.0
73o,0.0,0.0,0.0,0.0,0.0,100.0
63o,0.0,0.0,0.0,0.0,0.0,100.0
53o,0.03,0.0,0.0,0.03,99.97,0.0
43o,0.0,0.0,0.0,0.07,84.05,15.88
33,1.2,98.53,0.0,1.47,0.0,0.0
32s,0.28,0.0,0.0,0.0,100.0,0.0
A2o,0.69,61.92,2.97,23.09,12.02,0.0
K2o,0.16,0.0,44.65,12.39,42.96,0.0
Q2o,0.04,0.0,25.55,5.68,68.77,0.0
J2o,0.0,0.0,2.77,0.0,2.88,94.34
T2o,0.0,0.0,0.0,0.0,0.0,100.0
92o,0.0,0.0,0.0,0.0,0.0,100.0
82o,0.0,0.0,0.0,0.0,0.0,100.0
72o,0.0,0.0,0.0,0.0,0.0,100.0
62o,0.0,0.0,0.0,0.0,0.0,100.0
52o,0.0,0.0,0.0,0.0,0.0,100.0
42o,0.0,0.0,0.0,0.0,0.0,100.0
32o,0.0,0.0,0.0,0.0,0.0,100.0
22,1.07,100.0,0.0,0.0,0.0,0.0
